Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
E 2ND AVE & E 5TH AVE & PRINCE EDWARD ST,Property damage only,VANCOUVER,2017,1,49.266221,-123.095652
FIR ST & W 6TH AVE,Property damage only,VANCOUVER,2017,5,49.266223,-123.140934
PINE ST & W 6TH AVE,Property damage only,VANCOUVER,2017,1,49.266263,-123.143309
CLARK DR & GRANDVIEW HWY N,Property damage only,VANCOUVER,2017,11,49.266296,-123.077412
E 5TH AVE & QUEBEC ST,Property damage only,VANCOUVER,2017,2,49.266463,-123.102822
MANITOBA ST & W 5TH AVE,Property damage only,VANCOUVER,2017,2,49.266529,-123.106688
CAMBIE ST & CAMBIE ST BRIDGE & W 2ND AVE & W 2ND AVE OFFRAMP & W 6TH AVE & TURNING LANE,Property damage only,VANCOUVER,2017,2,49.266629,-123.114844
W 5TH AVE & YUKON ST,Property damage only,VANCOUVER,2017,2,49.266634,-123.112745
MACDONALD ST & W 6TH AVE,Property damage only,VANCOUVER,2017,3,49.266636,-123.168358
E 4TH AVE & SLOCAN ST,Property damage only,VANCOUVER,2017,1,49.26667,-123.049488
E 4TH AVE & NANAIMO ST,Property damage only,VANCOUVER,2017,1,49.266728,-123.056588
CLARK DR & E 4TH AVE,Property damage only,VANCOUVER,2017,13,49.266925,-123.077408
ARTHUR LAING BRIDGE & GRANVILLE ST ONRAMP & SW MARINE DR ONRAMP,Casualty,VANCOUVER,2016,2,49.199856,-123.135665
OAK ST BRIDGE & W KENT AVE N & W KENT AVE S,Casualty,VANCOUVER,2016,1,49.203411,-123.128937
HUDSON ST & W 73RD AVE,Casualty,VANCOUVER,2020,2,49.204296,-123.134747
OAK ST & OAK ST BRIDGE & OAK ST OFFRAMP & SW MARINE DR & SW MARINE DR OFFRAMP,Casualty,VANCOUVER,2020,2,49.204906,-123.129668
GRANVILLE ST & MILTON ST & SW MARINE DR,Casualty,VANCOUVER,2020,9,49.205303,-123.140462
BOUNDARY RD & MARINE WAY & TURNING LANE,Casualty,VANCOUVER,2020,11,49.205426,-123.023441
OAK ST & W 72ND AVE,Casualty,VANCOUVER,2020,2,49.205635,-123.13039
HUDSON ST & W 72ND AVE,Casualty,VANCOUVER,2016,1,49.20571,-123.134687
FREMLIN ST & SW MARINE DR,Casualty,VANCOUVER,2020,1,49.205766,-123.127605
BARNARD ST & W 75TH AVE,Casualty,VANCOUVER,2020,1,49.205836,-123.145848
MARINE WAY & RIVER DISTRICT CROSSING,Casualty,VANCOUVER,2020,2,49.206832,-123.030864
OSLER ST & W 71ST AVE,Casualty,VANCOUVER,2016,2,49.206931,-123.131689
SELKIRK ST & W 71ST AVE,Casualty,VANCOUVER,2016,1,49.206965,-123.133331
ELLIOTT ST & SE MARINE DR,Casualty,VANCOUVER,2020,11,49.207107,-123.056819
HEATHER ST & SW MARINE DR,Casualty,VANCOUVER,2016,7,49.207116,-123.124352
E KENT AVE N & MAIN ST,Casualty,VANCOUVER,2016,1,49.207235,-123.102418
JELLICOE ST & SE MARINE DR,Casualty,VANCOUVER,2016,9,49.207688,-123.047702
JELLICOE ST & SE MARINE DR,Casualty,VANCOUVER,2020,3,49.207688,-123.047702
AISNE ST & SW MARINE DR,Casualty,VANCOUVER,2016,1,49.207762,-123.122797
HYACK DR & SE MARINE DR,Casualty,VANCOUVER,2016,1,49.207994,-123.025792
AVERY AVE & SW MARINE DR,Casualty,VANCOUVER,2016,2,49.208005,-123.142192
SE MARINE DR,Casualty,VANCOUVER,2016,1,49.208007,-123.030034
KERR ST & SE MARINE DR,Casualty,VANCOUVER,2016,37,49.208097,-123.042257
BOUNDARY RD & SE MARINE DR,Casualty,VANCOUVER,2020,2,49.208167,-123.023671
BOUNDARY RD & MARINE DR & SE MARINE DR,Casualty,VANCOUVER,2016,13,49.208177,-123.023537
